[2019-03-22 12:09:00,650] http://localhost:5000/tag?10001*1553224140641*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:01,602] http://localhost:5000/tag?10001*1553224141590*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:01,808] http://localhost:5000/tag?10001*1553224141791*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,002] http://localhost:5000/tag?10001*1553224141984*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,177] http://localhost:5000/tag?10001*1553224142167*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,346] http://localhost:5000/tag?10001*1553224142329*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,504] http://localhost:5000/tag?10001*1553224142492*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,658] http://localhost:5000/tag?10001*1553224142646*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,803] http://localhost:5000/tag?10001*1553224142794*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:02,949] http://localhost:5000/tag?10001*1553224142939*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:03,114] http://localhost:5000/tag?10001*1553224143106*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:03,280] http://localhost:5000/tag?10001*1553224143264*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:03,425] http://localhost:5000/tag?10001*1553224143415*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:03,585] http://localhost:5000/tag?10001*1553224143573*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:03,743] http://localhost:5000/tag?10001*1553224143736*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:54,300] http://localhost:5000/tag?10001*1553224194291*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:54,923] http://localhost:5000/tag?10001*1553224194912*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,087] http://localhost:5000/tag?10001*1553224195076*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,252] http://localhost:5000/tag?10001*1553224195241*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,411] http://localhost:5000/tag?10001*1553224195400*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,561] http://localhost:5000/tag?10001*1553224195551*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,718] http://localhost:5000/tag?10001*1553224195709*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:55,876] http://localhost:5000/tag?10001*1553224195868*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,028] http://localhost:5000/tag?10001*1553224196017*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,181] http://localhost:5000/tag?10001*1553224196171*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,335] http://localhost:5000/tag?10001*1553224196328*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,496] http://localhost:5000/tag?10001*1553224196486*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,629] http://localhost:5000/tag?10001*1553224196619*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,786] http://localhost:5000/tag?10001*1553224196777*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:56,945] http://localhost:5000/tag?10001*1553224196937*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,116] http://localhost:5000/tag?10001*1553224197106*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,271] http://localhost:5000/tag?10001*1553224197261*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,436] http://localhost:5000/tag?10001*1553224197427*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,614] http://localhost:5000/tag?10001*1553224197604*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,779] http://localhost:5000/tag?10001*1553224197770*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:57,944] http://localhost:5000/tag?10001*1553224197937*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:58,120] http://localhost:5000/tag?10001*1553224198110*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 12:09:58,333] http://localhost:5000/tag?10001*1553224198324*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:19:40,775] http://localhost:5000/tag?10001*1553228380759*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:19:41,559] http://localhost:5000/tag?10001*1553228381547*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:19:41,759] http://localhost:5000/tag?10001*1553228381736*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:19:41,897] http://localhost:5000/tag?10001*1553228381881*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:19:42,078] http://localhost:5000/tag?10001*1553228382064*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:54,028] http://localhost:5000/tag?10001*1553228454013*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:54,896] http://localhost:5000/tag?10001*1553228454884*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:55,425] http://localhost:5000/tag?10001*1553228455415*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:55,592] http://localhost:5000/tag?10001*1553228455583*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:55,764] http://localhost:5000/tag?10001*1553228455749*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:55,935] http://localhost:5000/tag?10001*1553228455918*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:56,096] http://localhost:5000/tag?10001*1553228456081*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:56,559] http://localhost:5000/tag?10001*1553228456539*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:56,705] http://localhost:5000/tag?10001*1553228456691*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:56,884] http://localhost:5000/tag?10001*1553228456867*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,040] http://localhost:5000/tag?10001*1553228457030*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,189] http://localhost:5000/tag?10001*1553228457175*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,342] http://localhost:5000/tag?10001*1553228457325*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:57,497] http://localhost:5000/tag?10001*1553228457489*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:58,065] http://localhost:5000/tag?10001*1553228458052*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:20:58,247] http://localhost:5000/tag?10001*1553228458228*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:17,332] http://localhost:5000/tag?10001*1553228657314*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:17,914] http://localhost:5000/tag?10001*1553228657902*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,115] http://localhost:5000/tag?10001*1553228658104*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,321] http://localhost:5000/tag?10001*1553228658315*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,500] http://localhost:5000/tag?10001*1553228658479*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,656] http://localhost:5000/tag?10001*1553228658637*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,806] http://localhost:5000/tag?10001*1553228658797*http://www.test.com/test.html*N/A*1552587167022
[2019-03-22 13:24:18,980] http://localhost:5000/tag?10001*1553228658972*http://www.test.com/test.html*N/A*1552587167022
